NATIONALITY,EG_FGN_RESIDENT,ID_TYPE,CUSTOMER_SEGMENT,INDUSTRY,JOB_TITLE,INCOME_SOURCE,SEX,TITLE,AGE,CONTACT_DATE,ACCOUNT_SINCE,DATE_TIME_LOANS,LOAN_START_DATE,LOAN_END_DATE,CUSTOMER_TYPE,KYC_DATE,KYC_REMAINING_DAYS,KYC_YEARS_INT,KYC_RISK_RATE,KYC_RISK_CATEG,CUSTOMER_STATUS,CURRENCY,INTEREST_BASIS,LOAN_MONTHS,LOAN_AMOUNT,TOTAL_LOAN_AMOUNT,TOT_INTEREST_AMT,MONTHLY_PAYMENT,CONTRACT_TYPE,ISL&SME_REPAY_TYPE,HAS_CHRG,CHRG_CODE,INTEREST_RATE,LOAN_TYPE,LOAN_SUB_TYPE,POSTING_RESTRICT,TOTAL_MONTHLY_INCOME,JOINT_SEPARAT,MARITAL_STATUS,DTI,MONTHLY_PAYMENT_BURDEN,ANNUALIZED_PAYMENT_BURDEN,CUMULATIVE_INTEREST_PCT,EFFECTIVE_INTEREST_RATE,INTEREST_TO_INCOME_RATIO,INTEREST_COVERAGE,PAYMENT_TO_LOAN_RATIO,PRINCIPAL_SHARE_PER_MONTH,LOAN_TO_INCOME_EXPOSURE,TOTAL_COST_TO_INCOME_EXPOSURE,INTEREST_SHARE_TOTAL,PRINCIPAL_SHARE_TOTAL,PRINCIPAL_TO_INTEREST_RATIO,OVERDUE_STATUS
EG,EG,National ID,Thahabi,Professionals,Freelancer,Private business,M,,51,2021-02-15,2021-02-15,2022-11-03,2021-02-22,2026-02-17,Normal,2021-02-15,537,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,540000.0,737199.5666328622,197199.5666328622,12286.659443881035,AMORT,Demand,0,NO CHARGE,13.0,Personal Loan,Secured Personal Loans,ID Update Needed,,,,,,,0.3651843826534485,0.0730368765306897,,3.738342731783732,0.0227530730442241,0.7325017870892607,,,0.2674982129107394,0.7325017870892606,2.738342731783732,PDO
EG,EG,National ID,Upper Privilege,"Others (Goodwife, Non Adult ...)",Freelancer,Private business,F,,34,2020-04-27,2020-04-27,2022-11-03,2021-08-22,2029-06-18,Normal,2020-04-27,-122,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,3000000.0,3770353.5503539015,770353.5503539015,104732.04306538615,AMORT,Demand,0,NO CHARGE,15.5,Personal Loan,Secured Personal Loans,KYC Update Needed,,,,,,,0.2567845167846338,0.0855948389282112,,4.894315796457089,0.0349106810217953,0.7956813492247715,,,0.2043186507752284,0.7956813492247715,3.894315796457089,PDO
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Businessman,Private business,M,,39,2016-05-16,2016-05-16,2021-09-01,2020-05-24,2025-06-01,Normal,2022-01-09,865,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,207500.0,299462.2289423648,91962.2289423648,4991.037149039414,AMORT,Monthly,1,Statement Charge for LD,15.5,Auto Loan,AL-SELF EMPL & PROF DP > 50%,ID Update Needed,,,,,,,0.443191464782481,0.0886382929564962,,3.256361142899721,0.024053191079708,0.6929087542453841,,,0.3070912457546159,0.6929087542453841,2.256361142899721,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,41,2020-09-27,2020-09-27,2021-12-01,2020-09-28,2027-10-02,Normal,2020-09-27,396,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,84,205000.0,339577.3810630483,134577.38106304832,4042.5878697981934,AMORT,Monthly,1,Admin Charge on LD Retail,15.75,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,,,,,,,0.6564750295758455,0.0937821470822636,,2.5232871852659944,0.0197199408282838,0.6036915631961314,,,0.3963084368038687,0.6036915631961313,1.5232871852659944,CUR
EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,50,2021-07-21,2021-07-21,2022-10-01,2021-07-25,2026-08-01,Normal,2021-07-21,693,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,500000.0,820061.4207353711,320061.42073537107,13667.690345589515,AMORT,Demand,1,Admin Charge on LD Retail,21.5,Personal Loan,P-Sel&Prof-Non Corp Relations Fixed,NO RESTRICTION,,,,,,,0.6401228414707422,0.1280245682941484,,2.5622001516184087,0.027335380691179,0.6097104282160192,,,0.390289571783981,0.609710428216019,1.5622001516184087,CUR
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,39,2017-08-28,2017-08-28,2021-09-01,2019-08-26,2026-09-01,Normal,2017-08-28,-730,5,LOW,Low Risk Customer,Marginally,EGP,A,84,500000.0,764062.4606485816,264062.4606485816,9095.981674387876,AMORT,Monthly,1,Admin Charge on LD Retail,13.0,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,KYC Update Needed,,,,,,,0.5281249212971633,0.0754464173281661,,2.8934914064343573,0.0181919633487757,0.6543967617196771,,,0.3456032382803229,0.6543967617196771,1.8934914064343575,CUR
EG,EG,National ID,Thahabi,Governmental & Military Employees,Retired,Other,M,,66,2011-02-22,2011-02-22,2023-07-30,2023-05-01,2028-04-29,Normal,2021-02-09,531,5,LOW,Low Risk Customer,Marginally,EGP,B,60,45000.0,84066.71576342965,39066.715763429645,1401.111929390494,AMORT,Demand,0,NO CHARGE,28.000000000000004,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,,,,,0.8681492391873254,0.1736298478374651,,2.1518756854940055,0.031135820653122,0.5352891401947181,,,0.464710859805282,0.535289140194718,1.1518756854940058,PDO
EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,,44,2020-10-27,2020-10-27,2021-09-01,2020-10-28,2027-11-02,Normal,2020-10-27,426,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,84,80000.0,136359.46268673486,56359.462686734856,1623.3269367468436,AMORT,Monthly,1,Admin Charge on LD Retail,16.75,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,,,,,,,0.7044932835841857,0.1006418976548836,,2.419459948450313,0.0202915867093355,0.5866846233017788,,,0.4133153766982212,0.5866846233017788,1.419459948450313,CUR
EG,EG,National ID,Mass,Governmental & Military Employees,Employee,Salary,M,,43,2020-12-06,2020-12-06,2022-10-01,2020-12-13,2040-12-01,Normal,2020-12-06,466,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,157651.0,293343.9659982024,135692.96599820233,1222.2665249925096,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,27.262450371580147,0.1135935432149172,1.363122518579007,0.8607174454852956,0.0430358722742647,0.6305435222964793,2.1618214609745405,0.0077529893561887,0.5374271104010577,0.0610482496902106,0.1135935432149172,0.4625728895989422,0.5374271104010576,1.16182146097454,CUR
EG,EG,National ID,Mass,Governmental & Military Employees,Employee,Salary,M,,53,2023-03-25,2023-03-22,2023-07-02,2023-03-27,2031-12-02,Normal,2023-03-22,1302,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,104,142000.0,368732.4221904835,226732.42219048348,3545.50405952388,AMORT,Demand,1,Admin Charge on LD Retail,27.0,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,20357.0,SEPARATE,MARRIED,18.11329872724289,0.174166333915797,2.089996006989564,1.5967071985245316,0.1842354459835998,1.285132059226368,1.626288903140206,0.0249683384473512,0.3851031031023472,0.067071995646933,0.174166333915797,0.6148968968976527,0.3851031031023472,0.626288903140206,CUR
